X,Y,Unit,Higher for,Army,Status,Date added,Date updat,Location,Latitude,Longitude,Unit level,Type of un,Simplified,Establishe,Lower esti,Higher est,Unit count,Total esti,Total - lo,Total - hi,Notes
38.76545,55.095661,236th Artillery Brigade – Kolomna,20th Combined Arms Army,20th Combined Arms Army,Permanent,,,Kolomna,55.095661000000000,38.765450000000001,Brigade,Artillery,Other,,"2000","8000","1","5000","2000","8000",
40.558917,49.9357561,252nd Motorised Rifle Regiment – Boguchar – Fully established,3rd Motorised Rifle Division,20th Combined Arms Army,Permanent,,,Boguchar,49.935756099999999,40.558917000000001,Regiment,Armoured vehicles,Other,Fully est,"1500","2000","1","1750","1500","2000",
38.0494077,50.2787488,752nd Motorised Rifle Regiment – Soloti – Fully established,3rd Motorised Rifle Division,20th Combined Arms Army,Permanent,,,Soloti,50.278748800000002,38.049407700000003,Regiment,Armoured vehicles,Other,Fully est,"1500","2000","1","1750","1500","2000",
38.0494077,50.2787488,237th Tank Regiment – Soloti – Fully established,3rd Motorised Rifle Division,20th Combined Arms Army,Permanent,,,Soloti,50.278748800000002,38.049407700000003,Regiment,Tanks,Tanks,Fully est,"1400","1500","1","1450","1400","1500",
40.558917,49.9357561,99th SP Artillery Regiment – Boguchar – Fully established,3rd Motorised Rifle Division,20th Combined Arms Army,Permanent,,,Boguchar,49.935756099999999,40.558917000000001,Regiment,Artillery,Other,Fully est,"750","2000","1","1375","750","2000",
38.0494077,50.2787488,Unidentified Motorised Rifle Regiment – Soloti (established in December 2021 – it can generate one BTG),3rd Motorised Rifle Division,20th Combined Arms Army,Permanent,,,Soloti,50.278748800000002,38.049407700000003,Regiment,Armoured vehicles,Other,Est Dec 2021,"1500","2000","1","1750","1500","2000",
32.2566693,52.7566164,488th Motorised Rifle Regiment – Klintsy – Fully established,144th Motorised Rifle Division,20th Combined Arms Army,Permanent,,,Klintsy,52.756616399999999,32.256669299999999,Regiment,Armoured vehicles,Other,Fully est,"1500","2000","1","1750","1500","2000",
33.4540551,52.9291372,856th SP Artillery Regiment – Pochep – Fully established,144th Motorised Rifle Division,20th Combined Arms Army,Permanent,,,Pochep,52.929137200000000,33.454055099999998,Regiment,Artillery,Other,Fully est,"750","2000","1","1375","750","2000",
32.2566693,52.7566164,254th Motorised Rifle Regiment – Klintsy – Tank company and an MR battalion,144th Motorised Rifle Division,20th Combined Arms Army,Permanent,,,Klintsy,52.756616399999999,32.256669299999999,Regiment,Armoured vehicles,Other,,"1500","2000","1","1750","1500","2000",
33.1846309,54.5772791,"59th Tank Regiment – Yelnya – Tank battalion, an MRC",144th Motorised Rifle Division,20th Combined Arms Army,Permanent,,,Yelnya,54.577279099999998,33.184630900000002,Regiment,Tanks,Tanks,,"1400","1500","1","1450","1400","1500",
44.5133035,48.708048,20th Separate Motorised Rifle Division – Volgograd – (The unit was converted into a division in December 2021),8th Combined Arms Army,8th Combined Arms Army,Permanent,,,Volgograd,48.708047999999998,44.513303499999999,Division,Armoured vehicles,Other,,"12000","24000","1","18000","12000","24000",
39.4480479,45.4623937,238th Artillery Brigade – Korenovsk – Fully established,8th Combined Arms Army,8th Combined Arms Army,Permanent,,,Korenovsk,45.462393700000000,39.448047899999999,Brigade,Artillery,Other,Fully est,"2000","8000","1","5000","2000","8000",
40.1107053,47.5155502,102nd Motorised Rifle Regiment – Persianovskiy – Fully established,150th Motorised Rifle Division,8th Combined Arms Army,Permanent,,,Persianovskiy,47.515550200000000,40.110705299999999,Regiment,Armoured vehicles,Other,Fully est,"1500","2000","1","1750","1500","2000",
39.701505,47.2357137,103rd Motorised Rifle Regiment – Rostov-on-Don – Fully established,150th Motorised Rifle Division,8th Combined Arms Army,Permanent,,,Rostov-on-Don,47.235713699999998,39.701504999999997,Regiment,Armoured vehicles,Other,Fully est,"1500","2000","1","1750","1500","2000",
40.1107053,47.5155502,68th Tank Regiment – Persianovskiy – Fully established,150th Motorised Rifle Division,8th Combined Arms Army,Permanent,,,Persianovskiy,47.515550200000000,40.110705299999999,Regiment,Tanks,Tanks,Fully est,"1400","1500","1","1450","1400","1500",
40.1107053,47.5155502,163rd Tank Regiment – Persianovskiy – Fully established,150th Motorised Rifle Division,8th Combined Arms Army,Permanent,,,Persianovskiy,47.515550200000000,40.110705299999999,Regiment,Tanks,Tanks,Fully est,"1400","1500","1","1450","1400","1500",
39.701505,47.2357137,381st Artillery Regiment – Rostov-on-Don – Fully established,150th Motorised Rifle Division,8th Combined Arms Army,Permanent,,,Rostov-on-Don,47.235713699999998,39.701504999999997,Regiment,Artillery,Other,Fully est,"750","2000","1","1375","750","2000",
33.5253671,44.61665,810th Naval Infantry Brigade – Sevastopol – Fully established,,,Permanent,,,Sevastopol,44.616650000000000,33.525367099999997,Brigade,Naval infantry,Other,Fully est,"2000","8000","1","5000","2000","8000",
