Unit,Higher formation,Army,Status,Location,Latitude,Longitude,Unit level,Type of unit,Simplified type,Established,Lower estimate (no of troops),Higher estimate (no of troops),Unit count,Total estimate - median,Total - lower estimate,Total - higher estimate,Notes
236th Artillery Brigade – Kolomna,20th Combined Arms Army,20th Combined Arms Army,Permanent,Kolomna,55.0956610,38.7654500,Brigade,Artillery,Other,,2000,8000,1,5000,2000,8000,
252nd Motorised Rifle Regiment – Boguchar – Fully established,3rd Motorised Rifle Division,20th Combined Arms Army,Permanent,Boguchar,49.9357561,40.5589170,Regiment,Armoured vehicles,Other,Fully est,1500,2000,1,1750,1500,2000,
752nd Motorised Rifle Regiment – Soloti – Fully established,3rd Motorised Rifle Division,20th Combined Arms Army,Permanent,Soloti,50.2787488,38.0494077,Regiment,Armoured vehicles,Other,Fully est,1500,2000,1,1750,1500,2000,
237th Tank Regiment – Soloti – Fully established,3rd Motorised Rifle Division,20th Combined Arms Army,Permanent,Soloti,50.2787488,38.0494077,Regiment,Tanks,Tanks,Fully est,1400,1500,1,1450,1400,1500,
99th SP Artillery Regiment – Boguchar – Fully established,3rd Motorised Rifle Division,20th Combined Arms Army,Permanent,Boguchar,49.9357561,40.5589170,Regiment,Artillery,Other,Fully est,750,2000,1,1375,750,2000,
Unidentified Motorised Rifle Regiment – Soloti (established in December 2021 – it can generate one BTG),3rd Motorised Rifle Division,20th Combined Arms Army,Permanent,Soloti,50.2787488,38.0494077,Regiment,Armoured vehicles,Other,Est Dec 2021,1500,2000,1,1750,1500,2000,
488th Motorised Rifle Regiment – Klintsy – Fully established,144th Motorised Rifle Division,20th Combined Arms Army,Permanent,Klintsy,52.7566164,32.2566693,Regiment,Armoured vehicles,Other,Fully est,1500,2000,1,1750,1500,2000,
856th SP Artillery Regiment – Pochep – Fully established,144th Motorised Rifle Division,20th Combined Arms Army,Permanent,Pochep,52.9291372,33.4540551,Regiment,Artillery,Other,Fully est,750,2000,1,1375,750,2000,
254th Motorised Rifle Regiment – Klintsy – Tank company and an MR battalion,144th Motorised Rifle Division,20th Combined Arms Army,Permanent,Klintsy,52.7566164,32.2566693,Regiment,Armoured vehicles,Other,,1500,2000,1,1750,1500,2000,
"59th Tank Regiment – Yelnya – Tank battalion, an MRC",144th Motorised Rifle Division,20th Combined Arms Army,Permanent,Yelnya,54.5772791,33.1846309,Regiment,Tanks,Tanks,,1400,1500,1,1450,1400,1500,
20th Separate Motorised Rifle Division – Volgograd – (The unit was converted into a division in December 2021),8th Combined Arms Army,8th Combined Arms Army,Permanent,Volgograd,48.7080480,44.5133035,Division,Armoured vehicles,Other,,12000,24000,1,18000,12000,24000,
238th Artillery Brigade – Korenovsk – Fully established,8th Combined Arms Army,8th Combined Arms Army,Permanent,Korenovsk,45.4623937,39.4480479,Brigade,Artillery,Other,Fully est,2000,8000,1,5000,2000,8000,
